disease,drug,num_trials,primary_pos_trials,safety_flag_trials,conclusion,nct_ids,normalized_drug
Bardet-Biedl Syndrome,Setmelanotide,2,0,1,禁忌信号,NCT03746522|NCT04966741,setmelanotide
Distal myopathies,Cyproheptadine,1,0,1,禁忌信号,NCT02418949,cyproheptadine
Epileptic encephalopathy,ganaxolone,1,0,1,禁忌信号,NCT03572933,ganaxolone
Familial cerebral small vessel disease,cyproheptadine hydrochloride,1,0,1,禁忌信号,NCT01132547,cyproheptadine
Familial pulmonary fibrosis,Bardoxolone methyl,1,0,1,禁忌信号,NCT02036970,bardoxolone methyl
Familial tumour syndromes of the central and peripheral nervous system,cyproheptadine hydrochloride,2,0,1,禁忌信号,NCT00066248|NCT01132547,cyproheptadine
Hereditary haemorrhagic telangiectasia,Pomalidomide Oral Product,1,0,1,禁忌信号,NCT03910244,pomalidomide oral product
Hereditary haemorrhagic telangiectasia,Protopic® (Tacrolimus) 0.1% ointment,1,0,1,禁忌信号,NCT03152019,protopic® 0.1% ointment
Hereditary haemorrhagic telangiectasia,Timolol Gel,1,0,1,禁忌信号,NCT04139018,timolol gel
Hyperammonaemia,HPN-100,5,0,1,禁忌信号,NCT00947297|NCT00947544|NCT00992459|NCT01257737|NCT01347073,hpn-100
Hyperammonaemia,TNP-2092 capsules,2,0,2,禁忌信号,NCT06135675|NCT06178718,tnp-2092 capsules
Hyperammonaemia,TNP-2092 placebo capsules,1,0,1,禁忌信号,NCT06178718,tnp-2092 placebo capsules
Inherited white matter disorders,Control,1,0,1,禁忌信号,NCT00724594,control
Juvenile dermatomyositis,Continue IS (MMF or MPA),1,0,1,禁忌信号,NCT05000216,continue is
Juvenile dermatomyositis,Withhold IS (MMF or MPA),1,0,1,禁忌信号,NCT05000216,withhold is
Limb girdle muscular dystrophy,lenalidomide,1,0,1,禁忌信号,NCT02285062,lenalidomide
Neonatal cholestasis,LUM001,2,0,1,禁忌信号,NCT01903460|NCT02057692,lum001
Neurotransmitter disorders,Posiphen,1,0,1,禁忌信号,NCT04524351,posiphen
Neurotransmitter disorders,SGS-742,1,0,1,禁忌信号,NCT02019667,sgs-742
Primary ciliary dyskinesia,Ivacaftor,1,0,1,禁忌信号,NCT02871778,ivacaftor
Primary membranoproliferative glomerulonephritis,Avacopan,1,0,1,禁忌信号,NCT03301467,avacopan
Rod-cone dystrophy,rhNGF 180 µg/ml eye drops solution,1,0,1,禁忌信号,NCT02110225,ml eye drops solution + rhngf 180 µg
Rod-cone dystrophy,rhNGF 60 µg/ml eye drops solution,1,0,1,禁忌信号,NCT02110225,ml eye drops solution + rhngf 60 µg
Severe hypertriglyceridaemia,evinacumab,2,0,2,禁忌信号,NCT03452228|NCT04863014,evinacumab
