disease,drug,num_trials,primary_pos_trials,safety_flag_trials,conclusion,nct_ids,normalized_drug,is_gold_indication,is_gold_contraindication
Bardet-Biedl Syndrome,Metformin,1,0,0,证据不足,NCT03490019,metformin,0,0
Bardet-Biedl Syndrome,Setmelanotide,2,0,1,禁忌信号,NCT03746522|NCT04966741,setmelanotide,0,1
Bardet-Biedl Syndrome,Setmelanotide 2 mg,1,0,0,证据不足,NCT05194124,setmelanotide,0,1
Bardet-Biedl Syndrome,Setmelanotide 2.5 mg,1,0,0,证据不足,NCT05194124,setmelanotide,0,1
Bardet-Biedl Syndrome,Setmelanotide 20 mg,1,0,0,证据不足,NCT05194124,setmelanotide,0,1
Bardet-Biedl Syndrome,Setmelanotide 25 mg,1,0,0,证据不足,NCT05194124,setmelanotide,0,1
Bardet-Biedl Syndrome,Setmelanotide 3 mg,1,0,0,证据不足,NCT05194124,setmelanotide,0,1
Bardet-Biedl Syndrome,Setmelanotide 30 mg,1,0,0,证据不足,NCT05194124,setmelanotide,0,1
Bardet-Biedl Syndrome,"Setmelanotide, administered subcutaneously [SC], once daily.",1,0,0,证据不足,NCT05183802,administered subcutaneously [sc] + once daily. + setmelanotide,0,0
Distal myopathies,Aceneuramic Acid Extended-Release,1,0,0,证据不足,NCT02731690,aceneuramic acid extended-release,0,0
Distal myopathies,aceneuramic acid extended-release (Ace-ER),1,0,0,证据不足,NCT02377921,aceneuramic acid extended-release,0,0
Distal myopathies,Aceneuramic Acid Extended-Release Tablets,1,0,0,证据不足,NCT02736188,aceneuramic acid extended-release tablets,0,0
Distal myopathies,Cyproheptadine,1,0,1,禁忌信号,NCT02418949,cyproheptadine,0,1
Distal myopathies,danicamtiv,1,0,0,证据不足,NCT04572893,danicamtiv,0,0
Distal myopathies,Dexamethasone,1,0,0,证据不足,NCT06806410,dexamethasone,0,0
Distal myopathies,Immune Globulin,1,0,0,证据不足,NCT00195637,immune globulin,0,0
Distal myopathies,Liposomal bupivacaine (LB),1,0,0,证据不足,NCT06806410,liposomal bupivacaine,0,0
Distal myopathies,ManNAc,3,0,0,证据不足,NCT01634750|NCT02346461|NCT04231266,mannac,0,0
Distal myopathies,NPC-09,2,0,0,证据不足,NCT01236898|NCT04671472,npc-09,0,0
Distal myopathies,NPC-09 placebo,1,0,0,证据不足,NCT04671472,npc-09 placebo,0,0
Distal myopathies,Placebo for Cyproheptadine,1,0,0,证据不足,NCT02418949,placebo for cyproheptadine,0,0
Distal myopathies,SA-ER 500 mg,1,0,0,证据不足,NCT01830972,sa-er,0,0
Distal myopathies,SA-IR 500 mg,1,0,0,证据不足,NCT01830972,sa-ir,0,0
Distal myopathies,Sialic Acid Extended Release (SA-ER),1,0,0,证据不足,NCT01517880,sialic acid extended release,0,0
Distal myopathies,Sialic Acid Extended Release (SA-ER) Tables,1,0,0,证据不足,NCT01359319,sialic acid extended release tables,0,0
Distal myopathies,Sialic Acid Extended Release (SA-ER) Tablets,1,0,0,证据不足,NCT01359319,sialic acid extended release tablets,0,0
Distal myopathies,Tranexamic acid,1,0,0,证据不足,NCT04907812,tranexamic acid,0,0
Epileptic encephalopathy,0.5mg elsunersen,1,0,0,证据不足,NCT07019922,elsunersen,0,0
Epileptic encephalopathy,1.0mg/kg/day PRAX-562,1,0,0,证据不足,NCT07010471,day prax-562 + kg,0,0
Epileptic encephalopathy,1.5mg/kg/day PRAX-562,1,0,0,证据不足,NCT07010471,day prax-562 + kg,0,0
Epileptic encephalopathy,1mg elsunersen,1,0,0,证据不足,NCT07019922,elsunersen,0,0
Epileptic encephalopathy,Anti-epileptic drugs,1,0,0,证据不足,NCT02056236,anti-epileptic drugs,0,0
Epileptic encephalopathy,Anti-seizure medication,1,1,0,适应症线索,NCT03138876,anti-seizure medication,1,0
Epileptic encephalopathy,BMB-101,1,0,0,证据不足,NCT06401538,bmb-101,0,0
Epileptic encephalopathy,"Cannabis, Medical",1,0,0,证据不足,NCT03944447,cannabis + medical,0,0
Epileptic encephalopathy,CanniMed® 1:20,1,0,0,证据不足,NCT03024827,cannimed® 1:20,0,0
Epileptic encephalopathy,Cysteamine Bitartrate,2,0,0,证据不足,NCT02023866|NCT02473445,cysteamine,0,0
Epileptic encephalopathy,Enzalutamide,1,0,0,证据不足,NCT04290611,enzalutamide,0,0
Epileptic encephalopathy,ETX101,2,0,0,证据不足,NCT05419492|NCT06112275,etx101,0,0
Epileptic encephalopathy,Fenfluramine,1,0,0,证据不足,NCT05232630,fenfluramine,0,0
Epileptic encephalopathy,ganaxolone,1,0,1,禁忌信号,NCT03572933,ganaxolone,0,1
Epileptic encephalopathy,gene therapy,1,0,0,证据不足,NCT06983158,gene therapy,0,0
Epileptic encephalopathy,Glycerol Phenylbutyrate 1100 MG/ML [Ravicti],1,0,0,证据不足,NCT04937062,glycerol phenylbutyrate + ml [ravicti],0,0
Epileptic encephalopathy,Ketogenic diet,1,0,0,证据不足,NCT06700811,ketogenic diet,0,0
Epileptic encephalopathy,Levetiracetam,1,0,0,证据不足,NCT02603991,levetiracetam,0,0
Epileptic encephalopathy,LP352,5,0,0,证据不足,NCT05364021|NCT06149663|NCT06660394|NCT06719141|NCT06908226,lp352,0,0
Epileptic encephalopathy,"LP352, bexicaserin",1,0,0,证据不足,NCT05626634,bexicaserin + lp352,0,0
Epileptic encephalopathy,Matching Placebo,2,1,0,适应症线索,NCT02682927|NCT02926898,matching placebo,1,0
Epileptic encephalopathy,melatonin,1,0,0,证据不足,NCT01370486,melatonin,0,0
Epileptic encephalopathy,Memantine Hydrochloride 10 mg,1,0,0,证据不足,NCT03779672,memantine,0,0
Epileptic encephalopathy,NBI-827104,2,0,0,证据不足,NCT04625101|NCT05301894,nbi-827104,0,0
Epileptic encephalopathy,NBI-921352,2,0,0,证据不足,NCT04873869|NCT05226780,nbi-921352,0,0
Epileptic encephalopathy,OMT-28,1,0,0,证据不足,NCT05972954,omt-28,0,0
Epileptic encephalopathy,PRAX-222 - Fixed Doses,1,0,0,证据不足,NCT05737784,prax-222 - fixed doses,0,0
Epileptic encephalopathy,PRAX-222 - Initial Ascending Doses,1,0,0,证据不足,NCT05737784,prax-222 - initial ascending doses,0,0
Epileptic encephalopathy,PRAX-222 - Initial Dose,1,0,0,证据不足,NCT05737784,prax-222 - initial dose,0,0
Epileptic encephalopathy,PRAX-222 - Optional Ascending Doses,1,0,0,证据不足,NCT05737784,prax-222 - optional ascending doses,0,0
Epileptic encephalopathy,PRAX-562,1,0,0,证据不足,NCT05818553,prax-562,0,0
Epileptic encephalopathy,Rufinamide,1,0,0,证据不足,NCT02175173,rufinamide,0,0
Epileptic encephalopathy,Soticlestat,1,0,0,证据不足,NCT03635073,soticlestat,0,0
