disease,drug,num_trials,primary_pos_trials,safety_flag_trials,conclusion,nct_ids,normalized_drug
Amyotrophic lateral sclerosis or motor neuron disease,dextromethorphan hydrobromide 30 mg and quinidine sulfate 10 mg,1,1,0,适应症线索,NCT00573443,dextromethorphan + quinidine
Amyotrophic lateral sclerosis or motor neuron disease,escitalopram,1,1,0,适应症线索,NCT00965497,escitalopram
Arrhythmogenic Right Ventricular Cardiomyopathy,Flecainide Pill,1,1,0,适应症线索,NCT03685149,flecainide pill
Atypical haemolytic uraemic syndrome,Eculizumab,7,3,0,适应症线索,NCT00844545|NCT00844844|NCT01193348|NCT01194973|NCT01757431|NCT03518203|NCT05876351,eculizumab
Epileptic encephalopathy,Anti-seizure medication,1,1,0,适应症线索,NCT03138876,anti-seizure medication
Epileptic encephalopathy,Matching Placebo,2,1,0,适应症线索,NCT02682927|NCT02926898,matching placebo
Epileptic encephalopathy,TAK-935,2,1,0,适应症线索,NCT03166215|NCT03650452,tak-935
Epileptic encephalopathy,ZX008 (Fenfluramine Hydrochloride),5,1,1,可能适应症且需注意安全,NCT02682927|NCT02823145|NCT02926898|NCT03299842|NCT03936777,zx008
Gastrointestinal epithelial barrier disorders,Teduglutide,1,1,1,可能适应症且需注意安全,NCT02431325,teduglutide
Generalised pustular psoriasis,Certolizumab Pegol,1,1,1,可能适应症且需注意安全,NCT03051217,certolizumab pegol
Generalised pustular psoriasis,Spesolimab,6,2,1,可能适应症且需注意安全,NCT02978690|NCT03782792|NCT03886246|NCT04399837|NCT05670821|NCT06013969,spesolimab
Juvenile dermatomyositis,H.P. Acthar Gel,1,1,0,适应症线索,NCT02245841,h.p. acthar gel
Lactic acidosis,Dichloroacetate (DCA),1,1,0,适应症线索,NCT00874276,dichloroacetate
Lactic acidosis,Nitroglycerin infusion,1,1,0,适应症线索,NCT01901419,nitroglycerin infusion
Neonatal cholestasis,LUM001 (Maralixibat),3,1,0,适应症线索,NCT02047318|NCT02117713|NCT02160782,lum001
Neonatal cholestasis,Odevixibat,2,1,1,可能适应症且需注意安全,NCT04674761|NCT05035030,odevixibat
Neurotransmitter disorders,Desloratadine,1,1,1,可能适应症且需注意安全,NCT01916967,desloratadine
Neurotransmitter disorders,Escitalopram,2,1,0,适应症线索,NCT01728194|NCT05389046,escitalopram
Neurotransmitter disorders,KuvanTM Therapy,1,1,0,适应症线索,NCT00688844,kuvantm therapy
Non-CF bronchiectasis,AZLI,2,1,2,可能适应症且需注意安全,NCT01313624|NCT01314716,azli
Non-CF bronchiectasis,Brensocatib 10 mg,1,1,1,可能适应症且需注意安全,NCT03218917,brensocatib
Non-CF bronchiectasis,Ciprofloxacin DPI (BAYQ3939),1,1,0,适应症线索,NCT01764841,ciprofloxacin dpi
Noonan syndrome,somatropin,4,1,0,适应症线索,NCT00960128|NCT01529840|NCT01529944|NCT01927861,somatropin
Osteogenesis imperfecta,risedronate sodium (Actonel),1,1,0,适应症线索,NCT00106028,risedronate sodium
Osteogenesis imperfecta,setrusumab,1,1,1,可能适应症且需注意安全,NCT03118570,setrusumab
Primary ciliary dyskinesia,Albuterol,1,1,0,适应症线索,NCT04901715,albuterol
Primary ciliary dyskinesia,VX-371,1,1,1,可能适应症且需注意安全,NCT02871778,vx-371
Primary lymphoedema,Chemotherapy,1,1,0,适应症线索,NCT00589121,chemotherapy
Primary membranoproliferative glomerulonephritis,Pegcetacoplan,4,1,1,可能适应症且需注意安全,NCT04572854|NCT04729062|NCT05067127|NCT05809531,pegcetacoplan
Severe hypertriglyceridaemia,Epanova,2,1,0,适应症线索,NCT02009865|NCT02189252,epanova
Severe hypertriglyceridaemia,Gemcabene,1,1,1,可能适应症且需注意安全,NCT02944383,gemcabene
Severe hypertriglyceridaemia,K-877,2,2,0,适应症线索,NCT03001817|NCT03011450,k-877
Severe hypertriglyceridaemia,Olive Oil,1,1,0,适应症线索,NCT02009865,olive oil
Severe hypertriglyceridaemia,omefas,1,1,1,可能适应症且需注意安全,NCT01242527,omefas
Severe hypertriglyceridaemia,Pegozafermin,2,1,1,可能适应症且需注意安全,NCT04541186|NCT05852431,pegozafermin
