disease,drug,num_trials,primary_pos_trials,safety_flag_trials,conclusion,nct_ids,normalized_drug,is_gold_indication,is_gold_contraindication
Amyotrophic lateral sclerosis or motor neuron disease,BIIB105,1,0,0,证据不足,NCT04494256,biib105,0,0
Amyotrophic lateral sclerosis or motor neuron disease,deferiprone,1,0,0,证据不足,NCT02880033,deferiprone,0,0
Amyotrophic lateral sclerosis or motor neuron disease,dextromethorphan hydrobromide 20 mg and quinidine sulfate 10 mg,1,0,0,证据不足,NCT00573443,dextromethorphan + quinidine,1,0
Amyotrophic lateral sclerosis or motor neuron disease,dextromethorphan hydrobromide 30 mg and quinidine sulfate 10 mg,1,1,0,适应症线索,NCT00573443,dextromethorphan + quinidine,1,0
Amyotrophic lateral sclerosis or motor neuron disease,escitalopram,1,1,0,适应症线索,NCT00965497,escitalopram,1,0
Amyotrophic lateral sclerosis or motor neuron disease,FLX-787-ODT (orally disintigrating tablet),1,0,0,证据不足,NCT03338114,flx-787-odt,0,0
Amyotrophic lateral sclerosis or motor neuron disease,leuprolide,1,0,0,证据不足,NCT00004771,leuprolide,0,0
Amyotrophic lateral sclerosis or motor neuron disease,MediCabilis CBD Oil,1,0,0,证据不足,NCT03690791,medicabilis cbd oil,0,0
Amyotrophic lateral sclerosis or motor neuron disease,Psilocybin therapy,1,0,0,证据不足,NCT06782724,psilocybin therapy,0,0
Amyotrophic lateral sclerosis or motor neuron disease,testosterone,1,0,0,证据不足,NCT00004771,testosterone,0,0
Amyotrophic lateral sclerosis or motor neuron disease,"TPN-101, 400 mg/day",1,0,0,证据不足,NCT04993755,tpn-101,0,0
Arrhythmogenic Right Ventricular Cardiomyopathy,Anti-arrhythmic Drugs (AADs),1,0,0,证据不足,NCT05524077,anti-arrhythmic drugs,0,0
Arrhythmogenic Right Ventricular Cardiomyopathy,Avotermin,1,0,0,证据不足,NCT00627536,avotermin,0,0
Arrhythmogenic Right Ventricular Cardiomyopathy,flecainide iv,1,0,0,证据不足,NCT02302274,flecainide iv,0,0
Arrhythmogenic Right Ventricular Cardiomyopathy,Flecainide Pill,1,1,0,适应症线索,NCT03685149,flecainide pill,1,0
Arrhythmogenic Right Ventricular Cardiomyopathy,"Juvista (avotermin) plus placebo, standard-care (within-subject controls)",1,0,0,证据不足,NCT00594581,juvista plus placebo + standard-care,0,0
Arrhythmogenic Right Ventricular Cardiomyopathy,Spironolactone,1,0,0,证据不足,NCT03593317,spironolactone,0,0
Arrhythmogenic Right Ventricular Cardiomyopathy,Tideglusib,1,0,0,证据不足,NCT06174220,tideglusib,0,0
Atypical haemolytic uraemic syndrome,CCX168,2,0,0,证据不足,NCT02464891|NCT06004947,ccx168,0,0
Atypical haemolytic uraemic syndrome,Celecoxib,1,0,0,证据不足,NCT06004947,celecoxib,0,0
Atypical haemolytic uraemic syndrome,cemdisiran,1,0,0,证据不足,NCT03999840,cemdisiran,0,0
Atypical haemolytic uraemic syndrome,Cemdisiran,1,0,0,证据不足,NCT03303313,cemdisiran,0,0
Atypical haemolytic uraemic syndrome,Crovalimab,2,0,0,证据不足,NCT04861259|NCT04958265,crovalimab,0,0
Atypical haemolytic uraemic syndrome,Eculizumab,7,3,0,适应症线索,NCT00844545|NCT00844844|NCT01193348|NCT01194973|NCT01757431|NCT03518203|NCT05876351,eculizumab,1,0
Atypical haemolytic uraemic syndrome,eculizumab,3,0,0,证据不足,NCT00838513|NCT00844428|NCT02574403,eculizumab,1,0
Atypical haemolytic uraemic syndrome,Elizaria®,1,0,0,证据不足,NCT04749810,elizaria®,0,0
Atypical haemolytic uraemic syndrome,Iptacopan,2,0,0,证据不足,NCT04889430|NCT05935215,iptacopan,0,0
Atypical haemolytic uraemic syndrome,Iptcaopan 200 mg,1,0,0,证据不足,NCT05795140,iptcaopan,0,0
Atypical haemolytic uraemic syndrome,Itraconazole,1,0,0,证据不足,NCT06004947,itraconazole,0,0
Atypical haemolytic uraemic syndrome,Midazolam,1,0,0,证据不足,NCT06004947,midazolam,0,0
Atypical haemolytic uraemic syndrome,NM8074,1,0,0,证据不足,NCT05684159,nm8074,0,0
Atypical haemolytic uraemic syndrome,Placebos,1,0,0,证据不足,NCT03999840,placebos,0,0
Atypical haemolytic uraemic syndrome,Renin angiotensin system blockers,1,0,0,证据不足,NCT05726916,renin angiotensin system blockers,0,0
Atypical haemolytic uraemic syndrome,Rifampicin,1,0,0,证据不足,NCT06004947,rifampicin,0,0
Atypical haemolytic uraemic syndrome,Soliris®,1,0,0,证据不足,NCT05726916,soliris®,0,0
Atypical haemolytic uraemic syndrome,Spacing of Eculizumab infusions,1,0,0,证据不足,NCT04859608,spacing of eculizumab infusions,0,0
Atypical haemolytic uraemic syndrome,Ultomiris,1,0,0,证据不足,NCT06312644,ultomiris,0,0
Epileptic encephalopathy,0.5mg elsunersen,1,0,0,证据不足,NCT07019922,elsunersen,0,0
Epileptic encephalopathy,1.0mg/kg/day PRAX-562,1,0,0,证据不足,NCT07010471,day prax-562 + kg,0,0
Epileptic encephalopathy,1.5mg/kg/day PRAX-562,1,0,0,证据不足,NCT07010471,day prax-562 + kg,0,0
Epileptic encephalopathy,1mg elsunersen,1,0,0,证据不足,NCT07019922,elsunersen,0,0
Epileptic encephalopathy,Anti-epileptic drugs,1,0,0,证据不足,NCT02056236,anti-epileptic drugs,0,0
Epileptic encephalopathy,Anti-seizure medication,1,1,0,适应症线索,NCT03138876,anti-seizure medication,1,0
Epileptic encephalopathy,BMB-101,1,0,0,证据不足,NCT06401538,bmb-101,0,0
Epileptic encephalopathy,"Cannabis, Medical",1,0,0,证据不足,NCT03944447,cannabis + medical,0,0
Epileptic encephalopathy,CanniMed® 1:20,1,0,0,证据不足,NCT03024827,cannimed® 1:20,0,0
Epileptic encephalopathy,Cysteamine Bitartrate,2,0,0,证据不足,NCT02023866|NCT02473445,cysteamine,0,0
Epileptic encephalopathy,Enzalutamide,1,0,0,证据不足,NCT04290611,enzalutamide,0,0
Epileptic encephalopathy,ETX101,2,0,0,证据不足,NCT05419492|NCT06112275,etx101,0,0
Epileptic encephalopathy,Fenfluramine,1,0,0,证据不足,NCT05232630,fenfluramine,0,0
Epileptic encephalopathy,ganaxolone,1,0,1,禁忌信号,NCT03572933,ganaxolone,0,1
Epileptic encephalopathy,gene therapy,1,0,0,证据不足,NCT06983158,gene therapy,0,0
Epileptic encephalopathy,Glycerol Phenylbutyrate 1100 MG/ML [Ravicti],1,0,0,证据不足,NCT04937062,glycerol phenylbutyrate + ml [ravicti],0,0
Epileptic encephalopathy,Ketogenic diet,1,0,0,证据不足,NCT06700811,ketogenic diet,0,0
Epileptic encephalopathy,Levetiracetam,1,0,0,证据不足,NCT02603991,levetiracetam,0,0
Epileptic encephalopathy,LP352,5,0,0,证据不足,NCT05364021|NCT06149663|NCT06660394|NCT06719141|NCT06908226,lp352,0,0
Epileptic encephalopathy,"LP352, bexicaserin",1,0,0,证据不足,NCT05626634,bexicaserin + lp352,0,0
Epileptic encephalopathy,Matching Placebo,2,1,0,适应症线索,NCT02682927|NCT02926898,matching placebo,1,0
Epileptic encephalopathy,melatonin,1,0,0,证据不足,NCT01370486,melatonin,0,0
Epileptic encephalopathy,Memantine Hydrochloride 10 mg,1,0,0,证据不足,NCT03779672,memantine,0,0
Epileptic encephalopathy,NBI-827104,2,0,0,证据不足,NCT04625101|NCT05301894,nbi-827104,0,0
Epileptic encephalopathy,NBI-921352,2,0,0,证据不足,NCT04873869|NCT05226780,nbi-921352,0,0
Epileptic encephalopathy,OMT-28,1,0,0,证据不足,NCT05972954,omt-28,0,0
Epileptic encephalopathy,PRAX-222 - Fixed Doses,1,0,0,证据不足,NCT05737784,prax-222 - fixed doses,0,0
Epileptic encephalopathy,PRAX-222 - Initial Ascending Doses,1,0,0,证据不足,NCT05737784,prax-222 - initial ascending doses,0,0
Epileptic encephalopathy,PRAX-222 - Initial Dose,1,0,0,证据不足,NCT05737784,prax-222 - initial dose,0,0
Epileptic encephalopathy,PRAX-222 - Optional Ascending Doses,1,0,0,证据不足,NCT05737784,prax-222 - optional ascending doses,0,0
Epileptic encephalopathy,PRAX-562,1,0,0,证据不足,NCT05818553,prax-562,0,0
Epileptic encephalopathy,Rufinamide,1,0,0,证据不足,NCT02175173,rufinamide,0,0
Epileptic encephalopathy,Soticlestat,1,0,0,证据不足,NCT03635073,soticlestat,0,0
Epileptic encephalopathy,Stiripentol,1,0,0,证据不足,NCT02239276,stiripentol,0,0
Epileptic encephalopathy,Stiripentol capsule (Diacomit®),1,0,0,证据不足,NCT07176832,stiripentol capsule (diacomit®),0,0
Epileptic encephalopathy,Stiripentol oral suspension (Diacomit®),1,0,0,证据不足,NCT07176832,stiripentol oral suspension (diacomit®),0,0
Epileptic encephalopathy,STK-001,1,0,0,证据不足,NCT04740476,stk-001,0,0
Epileptic encephalopathy,STK-001 - Multiple Ascending Doses,1,0,0,证据不足,NCT04442295,stk-001 - multiple ascending doses,0,0
Epileptic encephalopathy,STK-001 - Single Ascending Doses,1,0,0,证据不足,NCT04442295,stk-001 - single ascending doses,0,0
Epileptic encephalopathy,TAK-935,2,1,0,适应症线索,NCT03166215|NCT03650452,tak-935,1,0
Epileptic encephalopathy,TSHA-105,1,0,0,证据不足,NCT07102524,tsha-105,0,0
Epileptic encephalopathy,Vatiquinone,1,0,0,证据不足,NCT04378075,vatiquinone,0,0
Epileptic encephalopathy,XEN496,2,0,0,证据不足,NCT04639310|NCT04912856,xen496,0,0
Epileptic encephalopathy,Zinc Acetate Dihydrate,1,0,0,证据不足,NCT06412653,zinc dihydrate,0,0
Epileptic encephalopathy,zorevunersen,1,0,0,证据不足,NCT06872125,zorevunersen,0,0
